size width length distance label
0.0006 0.0442 0.0666 2.311 1.0
0.5204 0.1122 0.3686 1.171 1.0
0.0013 0.0583 0.1529 1.907 1.0
0.0004 0.0433 0.0923 2.314 1.0
0.0052 0.0701 0.2294 2.114 1.0
0.0109 0.0773 0.2698 2.101 1.0
0.0655 0.0974 0.2739 1.62 1.0
0.0696 0.0993 0.3295 1.801 1.0
0.0039 0.0696 0.1819 2.169 1.0
0.0609 0.0919 0.2662 1.634 1.0
0.0048 0.0708 0.1795 2.015 1.0
0.0243 0.095 0.3001 2.145 1.0
0.0061 0.0672 0.1749 1.832 1.0
0.0106 0.0744 0.2324 1.948 1.0
0.0156 0.0806 0.2019 1.789 1.0
0.0359 0.0929 0.286 1.928 1.0
0.0301 0.0869 0.2843 1.994 1.0
0.002 0.0609 0.1528 2.372 1.0
0.0041 0.062 0.1656 1.838 1.0
0.0008 0.0469 0.0898 2.475 1.0
0.0037 0.0655 0.1624 1.843 1.0
0.0152 0.0867 0.3122 2.304 1.0
0.0828 0.0986 0.2845 1.568 1.0
0.0072 0.0741 0.2565 2.353 1.0
0.0517 0.0948 0.3253 1.802 1.0
0.0033 0.0614 0.1894 1.858 1.0
0.0044 0.0685 0.1922 1.951 1.0
0.019 0.0865 0.3233 2.173 1.0
0.1183 0.1061 0.3412 1.626 1.0
0.0021 0.0604 0.1629 2.012 1.0
0.0015 0.0593 0.1019 2.233 1.0
0.0093 0.0918 0.2057 2.413 1.0
0.0138 0.0975 0.211 2.306 1.0
0.0011 0.0569 0.103 2.15 1.0
0.0691 0.0993 0.267 1.823 1.0
0.0014 0.0626 0.1192 1.977 1.0
0.086 0.1041 0.326 1.946 1.0
0.5261 0.134 0.455 1.452 1.0
0.0411 0.0923 0.3035 2.06 1.0
0.0004 0.0407 0.074 2.102 1.0
0.1011 0.1078 0.3122 1.824 1.0
0.1293 0.1048 0.277 1.629 1.0
0.0904 0.0967 0.2846 1.571 1.0
0.0087 0.074 0.1841 1.841 1.0
0.1536 0.1095 0.3269 1.575 1.0
0.1225 0.109 0.3713 1.724 1.0
0.3126 0.1159 0.3463 1.35 1.0
0.005 0.0653 0.2396 2.299 1.0
0.0036 0.064 0.1976 2.053 1.0
0.2504 0.1164 0.4023 1.506 1.0
0.1285 0.1054 0.3114 1.561 1.0
0.0091 0.0723 0.2549 2.271 1.0
0.0003 0.0338 0.0515 2.175 1.0
0.0099 0.0834 0.2109 2.338 1.0
0.0093 0.0848 0.1519 1.939 1.0
0.0004 0.038 0.0661 2.129 1.0
0.0005 0.0468 0.0615 2.018 1.0
0.0004 0.0387 0.0532 2.193 1.0
0.0531 0.0954 0.2936 1.793 1.0
0.5863 0.1144 0.3957 1.194 1.0
0.0274 0.0858 0.2619 1.895 1.0
0.3244 0.1211 0.3881 1.428 1.0
0.0067 0.0719 0.2299 2.157 1.0
0.0008 0.0476 0.1114 2.095 1.0
0.0352 0.0869 0.2756 1.888 1.0
0.0119 0.0829 0.2804 2.284 1.0
0.0881 0.1042 0.349 1.737 1.0
0.0063 0.0709 0.2373 2.26 1.0
0.0091 0.0706 0.2628 2.107 1.0
0.0044 0.0742 0.1781 2.027 1.0
0.0642 0.0985 0.2993 1.698 1.0
0.0122 0.0748 0.2255 1.723 1.0
0.0029 0.0663 0.1477 1.965 1.0
0.0155 0.0815 0.2979 2.112 1.0
0.0106 0.0869 0.2206 1.958 1.0
0.0112 0.0739 0.1983 1.79 1.0
0.0155 0.0831 0.2264 1.789 1.0
0.0005 0.0434 0.1047 1.943 1.0
0.0484 0.0956 0.2682 1.664 1.0
0.0057 0.0719 0.1918 2.086 1.0
0.0042 0.0687 0.1778 1.995 1.0
0.0088 0.0731 0.1964 1.934 1.0
0.0492 0.0964 0.2908 1.883 1.0
0.0034 0.0733 0.1709 2.1 1.0
0.0361 0.093 0.32 2.19 1.0
0.0005 0.0478 0.0598 1.979 1.0
0.0019 0.067 0.1755 2.204 1.0
0.0007 0.0491 0.0715 1.996 1.0
0.0005 0.039 0.0563 2.147 1.0
0.0008 0.0513 0.0802 1.95 1.0
0.0337 0.0944 0.263 1.876 1.0
0.0111 0.0774 0.1611 1.881 1.0
0.2958 0.1231 0.3665 1.512 1.0
0.0003 0.0254 0.0594 2.523 1.0
0.009 0.076 0.2217 2.28 1.0
0.0057 0.0727 0.1833 2.155 1.0
0.164 0.1111 0.349 1.681 1.0
0.0017 0.057 0.138 2.088 1.0
0.0233 0.0836 0.1992 1.888 1.0
0.0022 0.063 0.1486 2.395 1.0
0.2144 0.1115 0.3153 1.494 1.0
0.2518 0.1235 0.413 1.65 1.0
0.0135 0.0806 0.2525 2.309 1.0
0.1463 0.1103 0.3633 1.74 1.0
0.2049 0.1196 0.3886 1.677 1.0
0.0293 0.084 0.2297 1.761 1.0
0.001 0.0428 0.1134 2.198 1.0
0.0155 0.0824 0.2997 2.246 1.0
0.0139 0.0808 0.2686 2.204 1.0
0.0081 0.0739 0.1732 1.83 1.0
0.0306 0.0906 0.224 1.717 1.0
0.0057 0.065 0.2463 2.235 1.0
0.0023 0.0643 0.1653 2.069 1.0
0.0568 0.0891 0.2665 1.636 1.0
0.0012 0.0569 0.1169 1.892 1.0
0.0164 0.0843 0.1929 1.78 1.0
0.0351 0.0891 0.2632 1.869 1.0
0.0899 0.1069 0.343 1.824 1.0
0.048 0.0964 0.3242 1.971 1.0
0.0168 0.0825 0.2447 1.996 1.0
0.3639 0.1261 0.4367 1.477 1.0
0.0071 0.0748 0.1902 2.132 1.0
0.0006 0.0375 0.0792 1.949 1.0
0.0145 0.0802 0.1755 1.799 1.0
0.3166 0.1243 0.3566 1.411 1.0
0.0009 0.0507 0.1022 1.929 1.0
0.0012 0.0499 0.1611 1.905 1.0
0.0843 0.1025 0.3197 1.738 1.0
0.0096 0.079 0.1818 1.829 1.0
0.0146 0.0865 0.2637 2.149 1.0
0.0295 0.0911 0.2388 1.721 1.0
0.0025 0.0751 0.1417 1.838 1.0
0.0396 0.0942 0.3154 2.058 1.0
0.0015 0.0615 0.1231 1.931 1.0
0.0015 0.0559 0.1649 2.061 1.0
0.0014 0.0529 0.1239 1.879 1.0
0.1864 0.1139 0.3571 1.589 1.0
0.3423 0.1226 0.425 1.492 1.0
0.0138 0.0745 0.2869 2.15 1.0
0.0014 0.0527 0.1236 1.963 1.0
0.0317 0.0942 0.3395 2.027 1.0
0.0962 0.1018 0.3527 1.68 1.0
0.0017 0.0702 0.1058 1.963 1.0
0.0081 0.0767 0.2468 2.178 1.0
0.0188 0.0809 0.322 2.181 1.0
0.0077 0.0749 0.2834 2.349 1.0
0.0059 0.0707 0.2099 1.914 1.0
0.0467 0.0945 0.2844 1.691 1.0
0.0025 0.0679 0.1491 1.884 1.0
0.0296 0.0873 0.2659 1.877 1.0
0.0054 0.067 0.1844 1.845 1.0
0.021 0.0799 0.2083 1.766 1.0
0.0939 0.1059 0.3569 1.779 1.0
0.0782 0.1006 0.3329 1.836 1.0
0.075 0.0951 0.2717 1.614 1.0
0.0015 0.0544 0.1293 2.005 1.0
0.0398 0.0972 0.3431 2.16 1.0
0.0125 0.0828 0.2041 1.818 1.0
0.0004 0.0395 0.0752 2.694 1.0
0.005 0.0732 0.1171 1.932 1.0
0.0023 0.0628 0.0982 1.947 1.0
0.5368 0.1419 0.3831 1.503 1.0
0.0238 0.0838 0.199 1.924 1.0
0.0159 0.0826 0.1923 1.957 1.0
0.0059 0.0689 0.1943 2.172 1.0
0.0392 0.0929 0.2578 1.942 1.0
0.0005 0.0399 0.07 2.1 1.0
0.3165 0.1327 0.31 1.517 1.0
0.0032 0.0657 0.136 2.446 1.0
0.0079 0.0794 0.1394 1.956 1.0
0.0019 0.0601 0.0999 2.322 1.0
0.0412 0.0915 0.3008 1.947 1.0
0.0256 0.0788 0.2479 1.842 1.0
0.0424 0.0908 0.2647 1.702 1.0
0.0394 0.0909 0.2752 1.855 1.0
0.0079 0.0642 0.191 1.878 1.0
0.012 0.0786 0.2412 2.076 1.0
0.0385 0.0896 0.33 2.078 1.0
0.0122 0.0746 0.2116 1.955 1.0
0.0488 0.0951 0.3245 1.969 1.0
0.7374 0.1236 0.3812 1.105 1.0
0.0213 0.0812 0.3063 2.123 1.0
0.0522 0.0935 0.2648 1.632 1.0
0.0017 0.0631 0.1299 2.037 1.0
0.6256 0.1198 0.4147 1.178 1.0
0.0527 0.0941 0.2756 1.679 1.0
0.0171 0.0813 0.2383 1.892 1.0
0.0202 0.0824 0.233 1.774 1.0
0.013 0.0782 0.2122 1.768 1.0
0.0079 0.0731 0.2456 2.206 1.0
0.0016 0.0577 0.0998 1.917 1.0
0.1084 0.1127 0.4043 1.902 1.0
0.0094 0.0789 0.2322 1.969 1.0
0.0823 0.1092 0.3861 1.932 1.0
0.0497 0.092 0.2654 1.664 1.0
0.0056 0.0735 0.2569 2.327 1.0
0.0047 0.0679 0.1845 1.809 1.0
0.0019 0.055 0.1205 1.931 1.0
0.011 0.0782 0.1951 1.78 1.0
0.0397 0.0952 0.3506 1.886 1.0
0.0205 0.0855 0.2856 1.806 1.0
0.0005 0.0433 0.0956 1.958 1.0
0.0025 0.0664 0.223 2.449 1.0
0.0273 0.0857 0.2619 1.679 1.0
0.016 0.0789 0.295 1.932 1.0
0.0213 0.0865 0.2902 1.843 1.0
0.0011 0.0594 0.1245 2.24 1.0
0.025 0.0853 0.2181 1.943 1.0
0.0065 0.0795 0.2115 2.487 1.0
0.0239 0.0965 0.2074 1.933 1.0
0.0032 0.0648 0.1649 2.138 1.0
0.0799 0.1092 0.2678 1.734 1.0
0.0852 0.1104 0.258 1.689 1.0
0.002 0.0649 0.1047 1.97 1.0
0.0307 0.0911 0.2231 1.735 1.0
0.0187 0.0866 0.3129 2.207 1.0
0.0069 0.0733 0.2233 2.05 1.0
0.0004 0.0364 0.0833 2.575 1.0
0.0015 0.0603 0.1449 2.555 1.0
0.0022 0.0653 0.1211 2.043 1.0
0.0554 0.098 0.2484 1.672 1.0
0.0121 0.0856 0.1785 2.128 1.0
0.0009 0.0459 0.0949 2.323 1.0
0.0302 0.0924 0.2248 2.026 1.0
0.0003 0.0284 0.0635 2.075 1.0
0.0116 0.075 0.1897 1.809 1.0
0.0154 0.0804 0.2815 2.105 1.0
0.0063 0.0685 0.2492 2.03 1.0
0.1074 0.1066 0.3696 1.85 1.0
0.0856 0.0995 0.3416 1.855 1.0
0.0007 0.0523 0.1208 2.262 1.0
0.0003 0.0401 0.1052 2.175 1.0
0.0011 0.0569 0.1148 2.03 1.0
0.0113 0.0803 0.2641 2.225 1.0
0.0535 0.0984 0.2613 1.798 1.0
0.0066 0.0776 0.2151 1.805 1.0
0.0004 0.0449 0.0797 2.53 1.0
0.0011 0.056 0.0892 1.983 1.0
0.0015 0.0548 0.1292 2.09 1.0
0.0007 0.0409 0.1244 2.061 1.0
0.0026 0.0574 0.1752 2.501 1.0
0.0101 0.0758 0.2474 2.449 1.0
0.0099 0.0727 0.1559 1.886 1.0
0.0004 0.0397 0.0644 2.368 1.0
0.4353 0.1199 0.3372 1.307 1.0
0.0094 0.0786 0.1636 1.956 1.0
0.0581 0.0987 0.3347 2.058 1.0
0.3377 0.1274 0.3714 1.459 1.0
0.013 0.0758 0.1891 1.797 1.0
0.0019 0.0546 0.1153 1.948 1.0
0.0123 0.0752 0.1828 1.821 1.0
0.0062 0.0728 0.1522 1.913 1.0
0.0204 0.0859 0.2786 2.18 1.0
0.0011 0.0624 0.1345 2.173 1.0
0.4817 0.1185 0.387 1.296 1.0
0.0958 0.1078 0.3601 1.834 1.0
0.0002 0.0284 0.0623 2.289 1.0
0.0061 0.0691 0.183 1.803 1.0
0.0627 0.0995 0.3399 1.893 1.0
0.0206 0.0847 0.2135 1.745 1.0
0.0006 0.039 0.081 2.017 1.0
0.0085 0.0736 0.2086 1.879 1.0
0.0008 0.0552 0.0845 2.013 1.0
0.2153 0.1293 0.4051 1.611 1.0
0.085 0.0961 0.2866 1.621 1.0
0.0015 0.0526 0.1506 2.629 1.0
0.026 0.0909 0.3106 2.137 1.0
0.0334 0.0937 0.3324 2.172 1.0
0.0081 0.0752 0.1892 1.905 1.0
0.001 0.0592 0.1019 2.062 1.0
0.0053 0.0743 0.1658 1.844 1.0
0.1166 0.1086 0.3871 1.85 1.0
0.0002 0.0382 0.0406 1.994 1.0
0.0002 0.0285 0.0541 1.938 1.0
0.0051 0.0631 0.1556 1.974 1.0
0.0255 0.0831 0.2067 1.755 1.0
0.0624 0.1019 0.3148 1.895 1.0
0.0244 0.0865 0.2033 1.759 1.0
0.0868 0.0984 0.2978 1.697 1.0
0.0715 0.0991 0.3263 1.85 1.0
0.087 0.1059 0.3777 1.934 1.0
0.0053 0.0711 0.1853 2.242 1.0
0.0359 0.0892 0.2862 1.901 1.0
0.001 0.0482 0.1136 2.249 1.0
0.5441 0.1291 0.4188 1.323 1.0
0.1164 0.1032 0.2874 1.582 1.0
0.0028 0.066 0.1659 2.129 1.0
0.0013 0.0535 0.1239 2.051 1.0
0.5586 0.1295 0.3888 1.291 1.0
0.0584 0.1034 0.3074 1.895 1.0
0.0004 0.0329 0.057 2.045 1.0
0.0049 0.0675 0.238 2.477 1.0
0.0029 0.0571 0.1834 2.465 1.0
0.0075 0.0727 0.1726 1.909 1.0
0.0074 0.0722 0.1769 2.056 1.0
0.0025 0.061 0.1484 2.152 1.0
0.0144 0.0827 0.2575 2.205 1.0
0.0013 0.0528 0.1157 1.904 1.0
0.0012 0.0577 0.1179 1.977 1.0
0.0018 0.0568 0.1261 1.96 1.0
0.2157 0.1183 0.3163 1.541 1.0
0.0016 0.058 0.1562 1.929 1.0
0.0088 0.0743 0.2781 2.385 1.0
0.0178 0.0778 0.2576 2.059 1.0
0.002 0.0749 0.1568 2.554 1.0
0.1405 0.1141 0.3836 1.904 1.0
0.0288 0.0848 0.2178 1.773 1.0
0.004 0.0665 0.1605 1.933 1.0
0.0072 0.0749 0.2378 2.319 1.0
0.0032 0.0635 0.1694 2.243 1.0
0.007 0.0744 0.1973 1.864 1.0
0.001 0.0579 0.1134 1.945 1.0
0.0069 0.0905 0.1735 1.974 1.0
0.0192 0.0809 0.2394 1.779 1.0
0.0046 0.0657 0.2117 1.959 1.0
0.0023 0.0576 0.1986 1.942 1.0
0.3986 0.1172 0.3747 1.291 1.0
0.0225 0.083 0.2524 1.749 1.0
0.0065 0.069 0.1863 1.818 1.0
0.0053 0.0685 0.1934 1.901 1.0
0.0014 0.0554 0.1499 1.892 1.0
0.0048 0.0679 0.2005 1.986 1.0
0.1196 0.1034 0.2886 1.57 1.0
0.0089 0.0736 0.2683 2.357 1.0
0.0611 0.0949 0.2603 1.686 1.0
0.4052 0.1164 0.3537 1.281 1.0
0.0027 0.0557 0.2114 2.253 1.0
0.149 0.1051 0.2939 1.545 1.0
0.0013 0.0489 0.1142 2.079 1.0
0.0089 0.0791 0.2086 1.994 1.0
0.0094 0.0758 0.1907 1.879 1.0
0.0008 0.052 0.1227 2.224 1.0
0.1019 0.107 0.3536 1.743 1.0
0.0022 0.0597 0.1558 2.164 1.0
0.0002 0.0332 0.0539 2.397 1.0
0.0389 0.0953 0.3443 2.116 1.0
0.0037 0.0577 0.2187 2.224 1.0
0.0486 0.0955 0.3492 1.974 1.0
0.012 0.0811 0.26 2.089 1.0
0.0032 0.0689 0.1414 1.882 1.0
0.0013 0.0636 0.119 1.965 1.0
0.0006 0.0508 0.1126 2.546 1.0
0.0194 0.0856 0.2436 1.978 1.0
0.0019 0.0606 0.1635 2.305 1.0
0.0374 0.0937 0.3303 2.116 1.0
0.0028 0.0612 0.1243 1.894 1.0
0.0007 0.0505 0.0735 2.025 1.0
0.0094 0.0699 0.1799 1.819 1.0
0.0525 0.0908 0.2426 1.7 1.0
0.0902 0.0998 0.2952 1.719 1.0
0.5223 0.1102 0.36 1.149 1.0
0.0157 0.0759 0.2118 1.969 1.0
0.1421 0.1058 0.3266 1.62 1.0
0.0625 0.0963 0.3006 1.844 1.0
0.1229 0.104 0.3273 1.676 1.0
0.0316 0.0887 0.189 1.785 1.0
0.1116 0.1077 0.2791 1.691 1.0
0.0023 0.061 0.0989 1.93 1.0
0.0008 0.0484 0.0796 2.145 1.0
0.0068 0.0655 0.1306 1.893 1.0
0.0061 0.0734 0.2072 2.454 1.0
0.027 0.0919 0.223 2.033 1.0
0.1277 0.1064 0.3213 1.575 1.0
0.0066 0.0758 0.2004 1.842 1.0
0.0168 0.0802 0.2228 1.766 1.0
0.0441 0.1005 0.3526 2.066 1.0
0.0182 0.0795 0.2231 1.78 1.0
0.3908 0.1232 0.377 1.338 1.0
0.2144 0.1183 0.4135 1.613 1.0
0.0701 0.1037 0.3792 1.945 1.0
0.0021 0.0549 0.1573 2.205 1.0
0.0004 0.0437 0.0707 1.987 1.0
0.0282 0.0829 0.2323 1.788 1.0
0.0162 0.0826 0.2029 1.785 1.0
0.0049 0.0706 0.1989 2.399 1.0
0.0135 0.0868 0.2052 1.783 1.0
0.0016 0.0636 0.1496 2.608 1.0
0.1919 0.1146 0.3116 1.514 1.0
0.0087 0.0685 0.2126 2.001 1.0
0.0035 0.0635 0.1496 1.912 1.0
0.016 0.0824 0.2616 2.01 1.0
0.189 0.1152 0.3576 1.519 1.0
0.066 0.102 0.2666 1.641 1.0
0.002 0.0616 0.1556 2.157 1.0
0.0101 0.0785 0.2195 1.829 1.0
0.2782 0.1394 0.3828 1.448 1.0
0.6802 0.1434 0.3869 1.148 1.0
0.2862 0.1165 0.3472 1.428 1.0
0.0033 0.0645 0.1984 2.021 1.0
0.0184 0.0806 0.2245 1.884 1.0
0.0027 0.0618 0.2372 2.39 1.0
0.0111 0.0752 0.2677 2.296 1.0
0.064 0.0991 0.3341 1.995 1.0
0.1047 0.1036 0.3428 1.834 1.0
0.0593 0.0946 0.2539 1.679 1.0
0.0763 0.0982 0.3288 1.86 1.0
0.0441 0.0884 0.2716 1.661 1.0
0.0074 0.0764 0.1821 1.833 1.0
0.0442 0.0879 0.2662 1.648 1.0
0.0116 0.0748 0.2031 1.772 1.0
0.0055 0.0684 0.2352 2.246 1.0
0.0015 0.0585 0.1429 2.261 1.0
0.0431 0.096 0.3551 2.092 1.0
0.0014 0.0563 0.1645 2.189 1.0
0.0009 0.0516 0.1396 2.246 1.0
0.0724 0.1045 0.2981 1.613 1.0
0.6005 0.1261 0.4122 1.262 1.0
0.0045 0.0675 0.2079 2.014 1.0
0.0124 0.0817 0.3189 2.147 1.0
0.0097 0.0737 0.2188 1.778 1.0
0.0276 0.0962 0.3502 2.092 1.0
0.0154 0.0892 0.3044 2.166 1.0
0.1485 0.1136 0.3511 1.619 1.0
0.0168 0.0823 0.2839 2.196 1.0
0.0046 0.0712 0.1916 2.014 1.0
0.0063 0.069 0.1876 1.831 1.0
0.0021 0.0657 0.1334 1.884 1.0
0.0036 0.0691 0.2255 2.47 1.0
0.0027 0.0736 0.103 1.923 1.0
0.4241 0.1219 0.3983 1.272 1.0
0.0147 0.0755 0.2087 1.792 1.0
0.0386 0.086 0.2346 1.685 1.0
0.0238 0.0863 0.2754 2.009 1.0
0.0695 0.1007 0.3317 1.864 1.0
0.0058 0.0678 0.1534 1.85 1.0
0.0128 0.0785 0.268 2.258 1.0
0.0694 0.1103 0.3126 1.798 1.0
0.0627 0.1406 0.2715 1.642 1.0
0.0133 0.0747 0.2039 1.794 1.0
0.0034 0.0631 0.1373 1.872 1.0
0.0021 0.0594 0.1962 2.14 1.0
0.5415 0.1244 0.3814 1.293 1.0
0.0178 0.0832 0.2689 2.128 1.0
0.0097 0.0779 0.2341 2.271 1.0
0.1436 0.1105 0.3772 1.747 1.0
0.0153 0.0818 0.2782 2.054 1.0
0.0072 0.0684 0.2464 2.135 1.0
0.0016 0.0614 0.1196 1.926 1.0
0.001 0.0596 0.1145 2.262 1.0
0.0016 0.0539 0.1561 2.535 1.0
0.0058 0.0757 0.1798 1.879 1.0
0.0718 0.0992 0.2811 1.66 1.0
0.0015 0.0654 0.1526 2.521 1.0
0.0084 0.0733 0.2754 2.272 1.0
0.1228 0.1218 0.4012 1.963 1.0
0.0015 0.0599 0.1074 1.934 1.0
0.0006 0.0458 0.0848 2.014 1.0
0.6399 0.1467 0.469 1.516 1.0
0.0707 0.108 0.3446 2.102 1.0
0.0005 0.0487 0.0681 2.154 1.0
0.0009 0.0405 0.1406 2.176 1.0
0.0053 0.0724 0.198 2.548 1.0
0.0801 0.108 0.3723 1.995 1.0
0.009 0.08 0.2463 2.266 1.0
0.0383 0.0887 0.2865 1.921 1.0
0.0859 0.1029 0.3564 1.908 1.0
0.2252 0.1207 0.4142 1.729 1.0
0.001 0.0412 0.1324 2.496 1.0
0.0225 0.1927 0.4301 1.689 1.0
0.0044 0.0713 0.1559 1.874 1.0
0.002 0.0636 0.1613 2.37 1.0
0.1284 0.103 0.3093 1.5 1.0
0.0167 0.081 0.2369 1.909 1.0
0.1262 0.1057 0.3155 1.544 1.0
0.1146 0.0975 0.3158 1.523 1.0
0.0078 0.0703 0.2125 2.06 1.0
0.0035 0.0638 0.1736 1.911 1.0
0.0179 0.0765 0.2564 1.969 1.0
0.0208 0.0839 0.2671 2.093 1.0
0.0174 0.0773 0.2131 1.87 1.0
0.0033 0.066 0.1362 1.875 1.0
0.1002 0.0997 0.2811 1.689 1.0
0.0046 0.0659 0.2291 2.377 1.0
0.0219 0.0789 0.2544 1.953 1.0
0.0294 0.0841 0.2281 1.809 1.0
0.0054 0.0643 0.1501 1.854 1.0
0.005 0.07 0.2207 2.393 1.0
0.098 0.0995 0.2737 1.638 1.0
0.0135 0.0738 0.2275 1.85 1.0
0.0114 0.0724 0.2485 1.913 1.0
0.0018 0.0695 0.1352 1.919 1.0
0.2736 0.1173 0.3565 1.549 1.0
0.0089 0.0729 0.1934 1.785 1.0
0.0022 0.0658 0.1892 2.499 1.0
0.2021 0.1212 0.3807 1.792 1.0
0.1612 0.1165 0.3225 1.738 1.0
0.5883 0.1368 0.4019 1.395 1.0
0.0002 0.0225 0.0486 2.152 1.0
0.0013 0.0542 0.1331 2.166 1.0
0.0154 0.0815 0.1782 1.844 1.0
0.1043 0.1096 0.3356 1.907 1.0
0.0118 0.074 0.2009 1.804 1.0
0.4306 0.1355 0.4105 1.505 1.0
0.0026 0.0645 0.1983 2.321 1.0
0.1182 0.114 0.4027 1.898 1.0
0.0831 0.1034 0.2846 1.721 1.0
0.0495 0.0995 0.3374 2.043 1.0
0.0027 0.0688 0.1902 2.379 1.0
0.092 0.1052 0.2991 1.718 1.0
0.0054 0.0718 0.1415 1.985 1.0
0.0094 0.0717 0.1848 2.104 1.0
0.015 0.0827 0.1951 2.007 1.0
0.0005 0.0495 0.0895 2.522 1.0
0.0009 0.0527 0.1064 2.383 1.0
0.0291 0.0887 0.2879 2.32 1.0
0.0017 0.0621 0.1118 2.079 1.0
0.0264 0.0889 0.2625 2.219 1.0
0.0009 0.052 0.1012 1.946 1.0
0.0097 0.0807 0.1994 2.568 1.0
0.2693 0.1408 0.3869 1.956 1.0
0.1069 0.1174 0.2443 1.876 1.0
0.012 0.0793 0.2159 2.067 1.0
0.079 0.1033 0.3258 1.857 1.0
0.0075 0.0733 0.2539 2.234 1.0
0.0306 0.0942 0.2347 1.78 1.0
0.0263 0.0911 0.3103 2.077 1.0
0.0552 0.0946 0.2805 1.837 1.0
0.0354 0.0869 0.2502 1.761 1.0
0.0553 0.1012 0.3314 2.045 1.0
0.0014 0.0565 0.1247 2.52 1.0
0.0104 0.0787 0.1744 1.9 1.0
0.0308 0.0833 0.2277 1.749 1.0
0.4917 0.1303 0.429 1.442 1.0
0.0006 0.0495 0.0606 2.008 1.0
0.1577 0.1159 0.3351 1.677 1.0
0.007 0.0665 0.1988 1.97 1.0
0.0059 0.0672 0.2311 2.282 1.0
0.0006 0.0501 0.0753 1.951 1.0
0.2054 0.1157 0.39 1.664 1.0
0.0275 0.089 0.287 2.097 1.0
0.0297 0.0838 0.2319 1.807 1.0
0.4876 0.127 0.359 1.397 1.0
0.0097 0.0753 0.2 1.916 1.0
0.0297 0.0951 0.3036 2.197 1.0
0.0128 0.0762 0.2045 1.818 1.0
0.2598 0.1224 0.3158 1.533 1.0
0.0032 0.0602 0.23 2.388 1.0
0.2541 0.1255 0.3967 1.692 1.0
0.0264 0.0876 0.2641 2.037 1.0
0.0075 0.067 0.2046 1.828 1.0
0.0497 0.0903 0.2706 1.734 1.0
0.0097 0.0752 0.2583 2.05 1.0
0.0325 0.0822 0.2354 1.718 1.0
0.0336 0.0941 0.3409 2.137 1.0
0.0004 0.0369 0.0668 2.291 1.0
0.028 0.0824 0.2378 1.696 1.0
0.1694 0.1098 0.3756 1.644 1.0
0.0095 0.0701 0.2173 1.75 1.0
0.0016 0.0649 0.127 2.189 1.0
0.0007 0.0444 0.1079 1.979 1.0
0.004 0.0631 0.1611 1.826 1.0
0.1704 0.1151 0.403 1.698 1.0
0.0004 0.053 0.0592 2.32 1.0
0.0015 0.0599 0.1901 2.479 1.0
0.0277 0.0873 0.2384 1.702 1.0
0.195 0.116 0.3974 1.68 1.0
0.0614 0.0991 0.3639 2.028 1.0
0.0021 0.0617 0.1161 1.912 1.0
0.0391 0.0879 0.282 1.857 1.0
0.1307 0.1027 0.3028 1.54 1.0
0.0032 0.0741 0.1581 2.371 1.0
0.3536 0.1291 0.4392 1.622 1.0
0.0119 0.0813 0.1941 2.035 1.0
0.0892 0.102 0.2552 1.67 1.0
0.0008 0.0494 0.1058 2.32 1.0
0.0021 0.0535 0.1605 2.221 1.0
0.0211 0.0886 0.2916 2.009 1.0
0.0111 0.0765 0.2119 1.782 1.0
0.0468 0.092 0.2695 1.69 1.0
0.006 0.0714 0.197 1.899 1.0
0.0023 0.0658 0.1425 1.853 1.0
0.1834 0.1131 0.3279 1.471 1.0
0.0005 0.0351 0.0696 2.28 1.0
0.0087 0.0785 0.2866 2.197 1.0
0.1228 0.1066 0.3693 1.703 1.0
0.0342 0.0958 0.344 2.073 1.0
0.0054 0.0706 0.2173 2.175 1.0
0.0002 0.0325 0.0505 2.074 1.0
0.0029 0.0744 0.1689 2.179 1.0
0.0009 0.0501 0.1009 2.247 1.0
0.073 0.112 0.3883 1.96 1.0
0.0022 0.07 0.1197 1.902 1.0
0.0035 0.0597 0.1638 1.833 1.0
0.0233 0.0873 0.2928 1.939 1.0
0.001 0.0529 0.1036 1.925 1.0
0.0137 0.0772 0.1791 1.846 1.0
0.1061 0.0991 0.2629 1.609 1.0
0.0039 0.065 0.207 2.391 1.0
0.016 0.0789 0.265 2.343 1.0
0.0468 0.0871 0.2346 1.742 1.0
0.147 0.1128 0.3823 1.818 1.0
0.001 0.0517 0.1452 1.928 1.0
0.0113 0.0844 0.2362 2.169 1.0
0.2786 0.1137 0.3273 1.453 1.0
0.0404 0.0881 0.2418 1.727 1.0
0.0005 0.0335 0.0911 2.433 1.0
0.0159 0.0853 0.205 2.126 1.0
0.0058 0.0718 0.142 2.001 1.0
0.0553 0.0963 0.2314 1.871 1.0
0.0003 0.0387 0.04 2.208 1.0
0.035 0.0885 0.1935 1.833 1.0
0.0009 0.0434 0.0915 2.119 1.0
0.0013 0.0569 0.138 2.645 1.0
0.0432 0.0949 0.2785 2.152 1.0
0.0006 0.0487 0.0768 1.976 1.0
0.1124 0.1098 0.2506 1.662 1.0
0.3351 0.1417 0.3794 1.659 1.0
0.1058 0.1127 0.2663 1.741 1.0
0.025 0.0876 0.2275 1.961 1.0
0.0026 0.0691 0.1764 2.561 1.0
0.1757 0.1267 0.3947 1.916 1.0
0.0416 0.0875 0.242 1.775 1.0
0.0036 0.0722 0.2108 2.476 1.0
0.0024 0.0679 0.1617 2.163 1.0
0.0095 0.0717 0.2542 2.252 1.0
0.025 0.0901 0.2487 1.937 1.0
